weapon_name,physical_dmg,magic_dmg,fire_dmg,lightning_dmg,holy_dmg,crit_multiplier,poise_dmg,strength_scaling,dexterity_scaling,intelligence_scaling,faith_scaling,arcane_scaling,physical_def,magic_def,fire_def,lightning_def,holy_def,guard_boost,status_resistance,weight,weapon_type,affinity
Antspur Rapier (keen),220,0,0,0,0,100,62,E,B,Z,Z,Z,47.0,31.0,31.0,31.0,31.0,23.1,10.0,3.0,ThrustingSwords,keen
Rusted Anchor (cold),255,192,0,0,0,100,164,B,E,D,Z,Z,64.6,41.4,34.2,34.2,34.2,44.0,19.95,12.5,Greataxes,cold
Longhaft Axe (cold),253,190,0,0,0,100,156,C,C,C,Z,Z,64.6,41.4,34.2,34.2,34.2,44.0,19.95,12.5,Greataxes,cold
Greataxe (cold),262,198,0,0,0,100,168,B,D,C,Z,Z,65.55,42.55,35.15,35.15,35.15,45.0,19.95,13.0,Greataxes,cold
Great Omenkiller Cleaver (cold),246,185,0,0,0,100,150,B,D,C,Z,Z,59.85,37.95,31.35,31.35,42.75,42.0,19.0,11.0,Greataxes,cold
Gargoyle's Great Axe (cold),214,160,0,0,0,100,150,A,E,B,Z,Z,55.1,35.65,29.45,29.45,29.45,37.0,17.1,8.5,Greataxes,cold
Executioner's Greataxe (cold),261,196,0,0,0,115,172,B,E,D,Z,Z,70.3,46.0,38.0,38.0,38.0,48.0,21.85,15.0,Greataxes,cold
Crescent Moon Axe (cold),253,190,0,0,0,100,156,C,C,C,Z,Z,64.6,41.4,34.2,34.2,34.2,44.0,19.95,12.5,Greataxes,cold
Butchering Knife (cold),232,174,0,0,0,100,150,E,B,C,Z,Z,55.1,35.65,29.45,29.45,29.45,37.0,17.1,8.5,Greataxes,cold
Celebrant's Rib-Rake (fire),176,0,176,0,0,100,68,C,E,Z,Z,Z,38.0,23.75,31.25,28.75,23.75,33.0,14.25,5.0,Spears,fire
Clayman's Harpoon (fire),161,86,161,0,0,100,80,C,E,D,Z,Z,46.55,36.1,31.25,28.75,23.75,33.0,15.2,5.5,Spears,fire
Cross-Naginata (fire),198,0,198,0,0,100,88,C,E,Z,Z,Z,49.4,30.4,40.0,36.8,30.4,39.0,18.05,8.0,Spears,fire
Iron Spear (fire),185,0,185,0,0,100,80,C,E,Z,Z,Z,39.9,24.7,32.5,29.9,24.7,31.0,14.25,4.5,Spears,fire
Partisan (fire),200,0,200,0,0,100,84,D,E,Z,Z,Z,45.6,28.5,37.5,34.5,28.5,36.0,17.1,6.5,Spears,fire
Pike (fire),187,0,187,0,0,100,82,C,E,Z,Z,Z,50.35,31.35,41.25,37.95,31.35,39.0,18.05,7.5,Spears,fire
Short Spear (fire),181,0,181,0,0,100,80,C,E,Z,Z,Z,38.0,23.75,31.25,28.75,23.75,30.0,14.25,4.0,Spears,fire
Spear (fire),185,0,185,0,0,100,80,C,E,Z,Z,Z,39.9,24.7,32.5,29.9,24.7,31.0,14.25,4.5,Spears,fire
Spiked Spear (fire),195,0,195,0,0,100,80,C,E,Z,Z,Z,43.7,26.6,35.0,32.2,26.6,34.0,16.15,6.0,Spears,fire
Broadsword (fire),190,0,190,0,0,100,94,C,E,Z,Z,Z,44.65,29.45,38.75,35.65,29.45,31.0,14.25,4.0,StraightSwords,fire
Cane Sword (fire),156,0,156,0,0,100,86,C,E,Z,Z,Z,38.95,25.65,33.75,31.05,25.65,27.0,12.35,2.5,StraightSwords,fire
Longsword (fire),178,0,178,0,0,100,90,C,E,Z,Z,Z,42.75,28.5,37.5,34.5,28.5,30.0,14.25,3.5,StraightSwords,fire
Lordsworn's Straight Sword (fire),187,0,187,0,0,110,90,C,E,Z,Z,Z,42.75,28.5,37.5,34.5,28.5,30.0,14.25,3.5,StraightSwords,fire
Noble's Slender Sword (fire),163,0,163,0,0,110,80,C,E,Z,Z,Z,40.85,27.55,36.25,33.35,27.55,30.0,13.3,3.5,StraightSwords,fire
Short Sword (fire),164,0,164,0,0,100,90,C,E,Z,Z,Z,39.9,26.6,35.0,32.2,26.6,28.0,13.3,3.0,StraightSwords,fire
Warhawk's Talon (fire),163,0,163,0,0,100,84,C,E,Z,Z,Z,39.9,26.6,35.0,32.2,26.6,30.0,13.3,3.0,StraightSwords,fire
Weathered Straight Sword (fire),166,0,166,0,0,100,90,C,E,Z,Z,Z,40.85,27.55,36.25,33.35,27.55,27.0,13.3,3.0,StraightSwords,fire
Lance (occult),265,0,0,0,0,100,122,D,E,Z,Z,B,57.0,36.0,36.0,36.0,36.0,48.4,21.0,9.0,GreatSpears,occult
Winged Greathorn,318,0,0,0,0,100,150,B,B,Z,Z,Z,65.0,35.0,35.0,35.0,35.0,46.2,20.0,11.0,Greataxes,standard
Rusted Anchor,360,0,0,0,0,100,164,B,E,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,52.8,21.0,12.5,Greataxes,standard
Longhaft Axe,357,0,0,0,0,100,156,C,D,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,52.8,21.0,12.5,Greataxes,standard
Greataxe,369,0,0,0,0,100,168,C,D,Z,Z,Z,69.0,37.0,37.0,37.0,37.0,54.0,21.0,13.0,Greataxes,standard
Great Omenkiller Cleaver,347,0,0,0,0,100,150,C,D,Z,Z,Z,63.0,33.0,33.0,33.0,45.0,50.4,20.0,11.0,Greataxes,standard
Gargoyle's Great Axe,301,0,0,0,0,100,150,B,E,Z,Z,Z,58.0,31.0,31.0,31.0,31.0,44.4,18.0,8.5,Greataxes,standard
Gargoyle's Black Axe,245,0,0,0,294,100,150,C,E,Z,D,Z,49.0,27.0,27.0,27.0,54.0,40.7,18.0,8.5,Greataxes,standard
Executioner's Greataxe,367,0,0,0,0,115,172,B,E,Z,Z,Z,74.0,40.0,40.0,40.0,40.0,57.6,23.0,15.0,Greataxes,standard
Crescent Moon Axe,357,0,0,0,0,100,156,D,C,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,52.8,21.0,12.5,Greataxes,standard
Butchering Knife,328,0,0,0,0,100,150,E,B,Z,Z,Z,58.0,31.0,31.0,31.0,31.0,44.4,18.0,8.5,Greataxes,standard
Axe of Godrick,347,0,0,0,0,100,150,C,C,Z,Z,Z,65.0,35.0,35.0,35.0,35.0,46.2,20.0,11.0,Greataxes,standard
Battle Hammer (blood),273,0,0,0,0,100,194,A,E,Z,Z,D,64.6,34.2,34.2,34.2,34.2,44.0,19.95,10.0,GreatHammers,blood
Brick Hammer (blood),253,0,0,0,0,100,218,A,Z,Z,Z,D,70.3,38.0,38.0,38.0,38.0,48.0,21.85,12.5,GreatHammers,blood
Celebrant's Skull (blood),285,0,0,0,0,100,182,C,C,Z,Z,D,59.85,32.3,32.3,32.3,32.3,40.0,18.05,8.5,GreatHammers,blood
Curved Great Club (blood),301,0,0,0,0,100,194,C,C,Z,Z,D,64.6,34.2,34.2,34.2,34.2,44.0,19.95,10.0,GreatHammers,blood
Great Mace (blood),277,0,0,0,0,100,200,A,Z,Z,Z,D,67.45,36.1,36.1,36.1,36.1,46.0,20.9,11.5,GreatHammers,blood
Great Stars (blood),279,0,0,0,0,100,182,B,C,Z,Z,D,64.6,34.2,34.2,34.2,34.2,44.0,19.95,10.0,GreatHammers,blood
Greathorn Hammer (blood),277,0,0,0,0,100,172,B,C,Z,Z,D,61.75,33.25,33.25,33.25,33.25,42.0,19.0,10.0,GreatHammers,blood
Large Club (blood),273,0,0,0,0,100,154,B,Z,Z,Z,D,57.0,30.4,30.4,30.4,30.4,38.0,17.1,8.5,GreatHammers,blood
Pickaxe (blood),298,0,0,0,0,100,190,B,D,Z,Z,D,64.6,34.2,34.2,34.2,34.2,44.0,19.95,10.0,GreatHammers,blood
Rotten Battle Hammer (blood),262,0,0,0,0,100,194,A,D,Z,Z,D,64.6,34.2,34.2,34.2,34.2,44.0,19.95,10.0,GreatHammers,blood
Battle Hammer (quality),260,0,0,0,0,100,194,B,B,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,10.0,GreatHammers,quality
Brick Hammer (quality),241,0,0,0,0,100,218,B,B,Z,Z,Z,74.0,40.0,40.0,40.0,40.0,52.8,23.0,12.5,GreatHammers,quality
Celebrant's Skull (quality),272,0,0,0,0,100,182,B,B,Z,Z,Z,63.0,34.0,34.0,34.0,34.0,44.0,19.0,8.5,GreatHammers,quality
Curved Great Club (quality),287,0,0,0,0,100,194,B,B,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,10.0,GreatHammers,quality
Great Mace (quality),264,0,0,0,0,100,200,B,B,Z,Z,Z,71.0,38.0,38.0,38.0,38.0,50.6,22.0,11.5,GreatHammers,quality
Great Stars (quality),266,0,0,0,0,100,182,B,B,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,10.0,GreatHammers,quality
Greathorn Hammer (quality),264,0,0,0,0,100,172,B,B,Z,Z,Z,65.0,35.0,35.0,35.0,35.0,46.2,20.0,10.0,GreatHammers,quality
Large Club (quality),260,0,0,0,0,100,154,B,B,Z,Z,Z,60.0,32.0,32.0,32.0,32.0,41.8,18.0,8.5,GreatHammers,quality
Pickaxe (quality),284,0,0,0,0,100,190,B,B,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,10.0,GreatHammers,quality
Rotten Battle Hammer (quality),250,0,0,0,0,100,194,B,B,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,10.0,GreatHammers,quality
Battle Hammer (keen),298,0,0,0,0,100,194,D,B,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,10.0,GreatHammers,keen
Brick Hammer (keen),277,0,0,0,0,100,218,D,A,Z,Z,Z,74.0,40.0,40.0,40.0,40.0,52.8,23.0,12.5,GreatHammers,keen
Celebrant's Skull (keen),312,0,0,0,0,100,182,E,B,Z,Z,Z,63.0,34.0,34.0,34.0,34.0,44.0,19.0,8.5,GreatHammers,keen
Curved Great Club (keen),329,0,0,0,0,100,194,E,B,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,10.0,GreatHammers,keen
Great Mace (keen),303,0,0,0,0,100,200,E,B,Z,Z,Z,71.0,38.0,38.0,38.0,38.0,50.6,22.0,11.5,GreatHammers,keen
Great Stars (keen),305,0,0,0,0,100,182,E,B,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,10.0,GreatHammers,keen
Greathorn Hammer (keen),303,0,0,0,0,100,172,E,B,Z,Z,Z,65.0,35.0,35.0,35.0,35.0,46.2,20.0,10.0,GreatHammers,keen
Large Club (keen),298,0,0,0,0,100,154,E,B,Z,Z,Z,60.0,32.0,32.0,32.0,32.0,41.8,18.0,8.5,GreatHammers,keen
Pickaxe (keen),326,0,0,0,0,100,190,E,B,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,10.0,GreatHammers,keen
Rotten Battle Hammer (keen),286,0,0,0,0,100,194,D,B,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,10.0,GreatHammers,keen
Greatsword (occult),357,0,0,0,0,100,156,D,E,Z,Z,B,84.0,50.0,50.0,50.0,50.0,61.6,28.0,23.0,ColossalSwords,occult
Troll's Golden Sword (occult),337,0,0,0,0,100,152,D,E,Z,Z,B,76.0,46.0,46.0,46.0,46.0,56.1,25.0,19.0,ColossalSwords,occult
Watchdog's Greatsword (occult),308,0,0,0,0,100,164,D,E,Z,Z,B,82.0,49.0,49.0,49.0,49.0,60.5,27.0,22.0,ColossalSwords,occult
Zweihander (occult),306,0,0,0,0,100,126,E,D,Z,Z,B,67.0,40.0,40.0,40.0,40.0,49.5,22.0,15.5,ColossalSwords,occult
Rusted Anchor (poison),305,0,0,0,0,100,164,B,E,Z,Z,D,64.6,34.2,34.2,34.2,34.2,44.0,21.0,12.5,Greataxes,poison
Longhaft Axe (poison),303,0,0,0,0,100,156,C,C,Z,Z,D,64.6,34.2,34.2,34.2,34.2,44.0,21.0,12.5,Greataxes,poison
Greataxe (poison),313,0,0,0,0,100,168,B,D,Z,Z,D,65.55,35.15,35.15,35.15,35.15,45.0,21.0,13.0,Greataxes,poison
Great Omenkiller Cleaver (poison),294,0,0,0,0,100,150,B,D,Z,Z,D,59.85,31.35,31.35,31.35,42.75,42.0,20.0,11.0,Greataxes,poison
Gargoyle's Great Axe (poison),255,0,0,0,0,100,150,A,E,Z,Z,D,55.1,29.45,29.45,29.45,29.45,37.0,18.0,8.5,Greataxes,poison
Executioner's Greataxe (poison),311,0,0,0,0,115,172,B,E,Z,Z,D,70.3,38.0,38.0,38.0,38.0,48.0,23.0,15.0,Greataxes,poison
Crescent Moon Axe (poison),303,0,0,0,0,100,156,C,C,Z,Z,D,64.6,34.2,34.2,34.2,34.2,44.0,21.0,12.5,Greataxes,poison
Butchering Knife (poison),277,0,0,0,0,100,150,D,B,Z,Z,D,55.1,29.45,29.45,29.45,29.45,37.0,18.0,8.5,Greataxes,poison
Bandit's Curved Sword (flame),226,0,226,0,0,100,98,E,E,Z,B,Z,45.6,34.2,45.0,41.4,34.2,30.0,11.4,5.0,CurvedSwords,flame
Beastman's Curved Sword (flame),216,0,216,0,0,100,98,D,E,Z,C,Z,41.8,31.35,41.25,37.95,31.35,27.0,10.45,4.0,CurvedSwords,flame
Falchion (flame),208,0,208,0,0,100,94,E,E,Z,B,Z,39.9,29.45,38.75,35.65,29.45,26.0,9.5,3.5,CurvedSwords,flame
Flowing Curved Sword (flame),208,0,208,0,0,100,94,E,D,Z,C,Z,39.9,29.45,38.75,35.65,29.45,26.0,9.5,3.5,CurvedSwords,flame
Grossmesser (flame),220,0,220,0,0,100,98,D,E,Z,C,Z,43.7,32.3,42.5,39.1,32.3,28.0,10.45,4.5,CurvedSwords,flame
Mantis Blade (flame),214,0,214,0,0,100,94,E,D,Z,C,Z,41.8,31.35,41.25,37.95,31.35,27.0,10.45,4.0,CurvedSwords,flame
Scavenger's Curved Sword (flame),200,0,200,0,0,100,84,E,D,Z,B,Z,38.0,28.5,37.5,34.5,28.5,25.0,9.5,3.5,CurvedSwords,flame
Scimitar (flame),202,0,202,0,0,100,90,E,D,Z,C,Z,38.0,28.5,37.5,34.5,28.5,25.0,9.5,3.0,CurvedSwords,flame
Serpent-God's Curved Sword (flame),216,0,216,0,0,100,98,D,E,Z,C,Z,41.8,31.35,41.25,37.95,31.35,27.0,10.45,4.0,CurvedSwords,flame
Shamshir (flame),206,0,206,0,0,100,90,E,E,Z,B,Z,39.9,29.45,38.75,35.65,29.45,26.0,9.5,3.5,CurvedSwords,flame
Shotel (flame),184,0,184,0,0,100,86,E,E,Z,C,Z,35.15,25.65,33.75,31.05,25.65,22.0,8.55,2.0,CurvedSwords,flame
Banished Knight's Halberd (lightning),208,0,0,208,0,100,122,E,C,Z,Z,Z,52.25,33.25,40.25,43.75,33.25,42.0,14.25,8.0,Halberds,lightning
Gargoyle's Halberd (lightning),217,0,0,217,0,100,152,E,C,Z,Z,Z,62.7,39.9,48.3,52.5,39.9,50.0,17.1,12.0,Halberds,lightning
Glaive (lightning),219,0,0,219,0,100,128,E,C,Z,Z,Z,57.0,36.1,43.7,47.5,36.1,46.0,15.2,10.0,Halberds,lightning
Guardian's Swordspear (lightning),231,0,0,231,0,100,128,E,C,Z,Z,Z,54.15,34.2,41.4,45.0,34.2,44.0,14.25,9.0,Halberds,lightning
Halberd (lightning),208,0,0,208,0,100,122,E,C,Z,Z,Z,52.25,33.25,40.25,43.75,33.25,42.0,14.25,8.0,Halberds,lightning
Lucerne (lightning),201,0,0,201,0,100,122,E,C,Z,Z,Z,49.4,31.35,37.95,41.25,31.35,39.0,13.3,7.0,Halberds,lightning
Nightrider Glaive (lightning),214,0,0,214,0,100,140,E,B,Z,Z,Z,62.7,39.9,48.3,52.5,39.9,50.0,17.1,12.0,Halberds,lightning
Pest's Glaive (lightning),200,0,0,200,0,100,114,E,C,Z,Z,Z,49.4,31.35,37.95,41.25,31.35,39.0,13.3,7.0,Halberds,lightning
Vulgar Militia Saw (lightning),208,0,0,208,0,100,128,E,C,Z,Z,Z,52.25,33.25,40.25,43.75,33.25,42.0,14.25,8.0,Halberds,lightning
Vulgar Militia Shotel (lightning),201,0,0,201,0,100,128,E,B,Z,Z,Z,52.25,33.25,40.25,43.75,33.25,42.0,14.25,8.0,Halberds,lightning
Grave Scythe (blood),296,0,0,0,0,100,120,C,D,Z,Z,D,46.55,31.35,31.35,31.35,31.35,33.0,15.2,9.5,Reapers,blood
Scythe (blood),258,0,0,0,0,100,110,D,B,Z,Z,D,42.75,28.5,28.5,28.5,28.5,30.0,14.25,7.5,Reapers,blood
Battle Hammer (cold),228,171,0,0,0,100,194,B,E,C,Z,Z,64.6,41.4,34.2,34.2,34.2,44.0,19.95,10.0,GreatHammers,cold
Brick Hammer (cold),212,160,0,0,0,100,218,A,Z,B,Z,Z,70.3,46.0,38.0,38.0,38.0,48.0,21.85,12.5,GreatHammers,cold
Celebrant's Skull (cold),239,180,0,0,0,100,182,C,C,C,Z,Z,59.85,39.1,32.3,32.3,32.3,40.0,18.05,8.5,GreatHammers,cold
Curved Great Club (cold),252,189,0,0,0,100,194,C,D,C,Z,Z,64.6,41.4,34.2,34.2,34.2,44.0,19.95,10.0,GreatHammers,cold
Great Mace (cold),232,174,0,0,0,100,200,B,Z,C,Z,Z,67.45,43.7,36.1,36.1,36.1,46.0,20.9,11.5,GreatHammers,cold
Great Stars (cold),234,176,0,0,0,100,182,C,C,C,Z,Z,64.6,41.4,34.2,34.2,34.2,44.0,19.95,10.0,GreatHammers,cold
Greathorn Hammer (cold),232,174,0,0,0,100,172,B,C,Z,Z,Z,61.75,40.25,33.25,33.25,33.25,42.0,19.0,10.0,GreatHammers,cold
Large Club (cold),228,171,0,0,0,100,154,B,Z,C,Z,Z,57.0,36.8,30.4,30.4,30.4,38.0,17.1,8.5,GreatHammers,cold
Pickaxe (cold),250,187,0,0,0,100,190,B,D,C,Z,Z,64.6,41.4,34.2,34.2,34.2,44.0,19.95,10.0,GreatHammers,cold
Rotten Battle Hammer (cold),219,165,0,0,0,100,194,B,E,C,Z,Z,64.6,41.4,34.2,34.2,34.2,44.0,19.95,10.0,GreatHammers,cold
Lordsworn's Greatsword (sacred),262,0,0,0,262,110,126,E,E,Z,C,Z,61.75,40.25,33.25,33.25,43.75,42.0,19.0,9.0,Greatswords,sacred
Knight's Greatsword (sacred),272,0,0,0,272,100,126,E,E,Z,C,Z,64.6,41.4,34.2,34.2,45.0,44.0,19.95,10.0,Greatswords,sacred
Iron Greatsword (sacred),288,0,0,0,288,100,140,D,E,Z,C,Z,69.35,44.85,37.05,37.05,48.75,47.0,20.9,12.0,Greatswords,sacred
Gargoyle's Greatsword (sacred),258,0,0,0,258,100,138,D,E,Z,B,Z,67.45,43.7,36.1,36.1,47.5,46.0,20.9,11.5,Greatswords,sacred
Forked Greatsword (sacred),240,0,0,0,240,100,112,E,D,Z,C,Z,57.95,37.95,31.35,31.35,41.25,39.0,18.05,9.0,Greatswords,sacred
Flamberge (sacred),250,0,0,0,250,100,118,E,D,Z,C,Z,61.75,40.25,33.25,33.25,43.75,42.0,19.0,10.0,Greatswords,sacred
Claymore (sacred),266,0,0,0,266,100,126,D,E,Z,C,Z,61.75,40.25,33.25,33.25,43.75,42.0,19.0,9.0,Greatswords,sacred
Bastard Sword (sacred),266,0,0,0,266,100,126,D,E,Z,C,Z,61.75,40.25,33.25,33.25,43.75,42.0,19.0,9.0,Greatswords,sacred
Banished Knight's Greatsword (sacred),274,0,0,0,274,100,132,E,E,Z,C,Z,64.6,41.4,34.2,34.2,45.0,44.0,19.95,10.0,Greatswords,sacred
Gargoyle's Twinblade (occult),265,0,0,0,0,100,100,D,E,Z,Z,B,48.0,32.0,32.0,32.0,32.0,35.2,16.0,8.5,Twinblades,occult
Godskin Peeler (occult),261,0,0,0,0,100,90,E,D,Z,Z,B,47.0,31.0,31.0,31.0,31.0,34.1,15.0,8.0,Twinblades,occult
Twinblade (occult),256,0,0,0,0,100,90,E,D,Z,Z,B,45.0,30.0,30.0,30.0,30.0,33.0,15.0,7.0,Twinblades,occult
Twinned Knight Swords (occult),263,0,0,0,0,100,94,D,E,Z,Z,B,47.0,31.0,31.0,31.0,31.0,34.1,15.0,8.0,Twinblades,occult
Battle Axe (fire),207,0,207,0,0,100,112,C,E,Z,Z,Z,44.65,29.45,38.75,35.65,29.45,31.0,14.25,4.5,Axes,fire
Celebrant's Cleaver (fire),204,0,204,0,0,100,112,C,E,Z,Z,Z,44.65,29.45,38.75,35.65,29.45,33.0,14.25,4.5,Axes,fire
Forked Hatchet (fire),171,0,171,0,0,100,106,C,E,Z,Z,Z,38.0,25.65,33.75,31.05,25.65,27.0,12.35,2.5,Axes,fire
Hand Axe (fire),190,0,190,0,0,100,106,C,E,Z,Z,Z,39.9,26.6,35.0,32.2,26.6,28.0,13.3,3.5,Axes,fire
Highland Axe (fire),207,0,207,0,0,110,112,C,E,Z,Z,Z,44.65,29.45,38.75,35.65,29.45,31.0,14.25,4.5,Axes,fire
Iron Cleaver (fire),204,0,204,0,0,100,122,C,E,Z,Z,Z,48.45,32.3,42.5,39.1,32.3,34.0,16.15,6.0,Axes,fire
Jawbone Axe (fire),210,0,210,0,0,100,122,C,E,Z,Z,Z,46.55,31.35,41.25,37.95,31.35,36.0,15.2,5.5,Axes,fire
Sacrificial Axe (fire),215,0,215,0,0,100,122,C,E,Z,Z,Z,46.55,31.35,41.25,37.95,31.35,33.0,15.2,5.5,Axes,fire
Warped Axe (fire),204,0,204,0,0,100,128,C,E,Z,Z,Z,53.2,35.15,46.25,42.55,35.15,43.0,17.1,7.5,Axes,fire
Gargoyle's Twinblade (heavy),259,0,0,0,0,100,110,A,Z,Z,Z,Z,48.0,32.0,32.0,32.0,32.0,35.2,16.0,8.5,Twinblades,heavy
Godskin Peeler (heavy),272,0,0,0,0,100,90,B,Z,Z,Z,Z,47.0,31.0,31.0,31.0,31.0,34.1,15.0,8.0,Twinblades,heavy
Twinblade (heavy),267,0,0,0,0,100,90,B,Z,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,33.0,15.0,7.0,Twinblades,heavy
Twinned Knight Swords (heavy),274,0,0,0,0,100,94,B,Z,Z,Z,Z,47.0,31.0,31.0,31.0,31.0,34.1,15.0,8.0,Twinblades,heavy
Beastman's Cleaver (fire),232,0,232,0,0,100,164,C,E,Z,Z,Z,76.95,40.85,53.75,49.45,40.85,52.0,23.75,16.5,CurvedGreatswords,fire
Dismounter (fire),224,0,224,0,0,100,122,C,E,Z,Z,Z,61.75,33.25,43.75,40.25,33.25,42.0,19.0,10.0,CurvedGreatswords,fire
Monk's Flameblade (fire),217,0,217,0,0,100,122,C,E,Z,Z,Z,57.95,31.35,41.25,37.95,31.35,39.0,18.05,9.0,CurvedGreatswords,fire
Omen Cleaver (fire),231,0,231,0,0,100,128,C,E,Z,Z,Z,64.6,34.2,45.0,41.4,34.2,44.0,19.95,11.5,CurvedGreatswords,fire
Bloodstained Dagger (cold),138,117,0,0,0,110,60,B,D,C,Z,Z,34.2,24.15,19.95,19.95,19.95,15.0,9.5,2.0,Daggers,cold
Celebrant's Sickle (cold),135,115,0,0,0,100,56,E,B,C,Z,Z,33.25,23.0,19.0,19.0,19.0,15.0,9.5,1.5,Daggers,cold
Dagger (cold),127,108,0,0,0,130,60,D,B,B,Z,Z,33.25,23.0,19.0,19.0,19.0,15.0,9.5,1.5,Daggers,cold
Erdsteel Dagger (cold),115,97,0,0,0,110,60,D,D,B,D,Z,34.2,24.15,19.95,19.95,19.95,15.0,9.5,2.0,Daggers,cold
Great Knife (cold),129,109,0,0,0,110,60,E,B,C,Z,Z,33.25,23.0,19.0,19.0,19.0,15.0,9.5,1.5,Daggers,cold
Misericorde (cold),158,135,0,0,0,140,56,E,C,D,Z,Z,34.2,24.15,19.95,19.95,19.95,15.0,9.5,2.0,Daggers,cold
Parrying Dagger (cold),129,109,0,0,0,110,60,D,B,C,Z,Z,33.25,23.0,19.0,19.0,19.0,15.0,9.5,1.5,Daggers,cold
Wakizashi (cold),162,138,0,0,0,100,66,D,C,C,Z,Z,39.9,27.6,22.8,22.8,22.8,18.0,11.4,3.0,Daggers,cold
Broadsword (occult),252,0,0,0,0,100,94,D,E,Z,Z,B,47.0,31.0,31.0,31.0,31.0,34.1,15.0,4.0,StraightSwords,occult
Cane Sword (occult),207,0,0,0,0,100,86,E,D,Z,Z,B,41.0,27.0,27.0,27.0,27.0,29.7,13.0,2.5,StraightSwords,occult
Longsword (occult),236,0,0,0,0,100,90,D,E,Z,Z,B,45.0,30.0,30.0,30.0,30.0,33.0,15.0,3.5,StraightSwords,occult
Lordsworn's Straight Sword (occult),247,0,0,0,0,110,90,E,E,Z,Z,B,45.0,30.0,30.0,30.0,30.0,33.0,15.0,3.5,StraightSwords,occult
Noble's Slender Sword (occult),216,0,0,0,0,110,80,E,D,Z,Z,B,43.0,29.0,29.0,29.0,29.0,33.0,14.0,3.5,StraightSwords,occult
Short Sword (occult),218,0,0,0,0,100,90,E,D,Z,Z,B,42.0,28.0,28.0,28.0,28.0,30.8,14.0,3.0,StraightSwords,occult
Warhawk's Talon (occult),216,0,0,0,0,100,84,E,D,Z,Z,B,42.0,28.0,28.0,28.0,28.0,33.0,14.0,3.0,StraightSwords,occult
Weathered Straight Sword (occult),220,0,0,0,0,100,90,E,D,Z,Z,B,43.0,29.0,29.0,29.0,29.0,29.7,14.0,3.0,StraightSwords,occult
Duelist Greataxe (heavy),385,0,0,0,0,100,156,B,Z,Z,Z,Z,78.0,47.0,47.0,47.0,47.0,57.2,26.0,20.0,ColossalWeapons,heavy
Giant-Crusher (heavy),330,0,0,0,0,100,246,S,Z,Z,Z,Z,88.0,52.0,52.0,52.0,52.0,63.8,29.0,26.5,ColossalWeapons,heavy
Golem's Halberd (heavy),336,0,0,0,0,100,147,A,Z,Z,Z,Z,75.0,45.0,45.0,45.0,45.0,55.0,25.0,21.5,ColossalWeapons,heavy
Prelate's Inferno Crozier (heavy),332,0,0,0,0,100,231,A,Z,Z,Z,Z,82.0,49.0,49.0,49.0,49.0,60.5,27.0,23.5,ColossalWeapons,heavy
Rotten Greataxe (heavy),368,0,0,0,0,100,156,B,Z,Z,Z,Z,78.0,47.0,47.0,47.0,47.0,57.2,26.0,20.0,ColossalWeapons,heavy
Axe of Godfrey,404,0,0,0,0,100,150,C,D,Z,Z,Z,75.0,45.0,45.0,45.0,45.0,55.0,25.0,18.0,ColossalWeapons,standard
Dragon Greatclaw,294,0,0,191,0,100,150,C,C,Z,Z,Z,66.0,40.0,40.0,52.0,40.0,51.7,23.0,16.0,ColossalWeapons,standard
Duelist Greataxe,416,0,0,0,0,100,156,D,C,Z,Z,Z,78.0,47.0,47.0,47.0,47.0,62.4,26.0,20.0,ColossalWeapons,standard
Envoy's Greathorn,296,0,0,0,191,100,202,C,C,Z,D,Z,70.0,43.0,43.0,43.0,55.0,55.0,25.0,19.5,ColossalWeapons,standard
Fallingstar Beast Jaw,320,208,0,0,0,100,180,C,C,D,Z,Z,70.0,55.0,43.0,43.0,43.0,55.0,25.0,21.5,ColossalWeapons,standard
Ghiza's Wheel,382,0,0,0,0,100,184,C,C,Z,Z,Z,73.0,43.0,43.0,43.0,43.0,52.8,24.0,19.0,ColossalWeapons,standard
Giant-Crusher,379,0,0,0,0,100,224,B,Z,Z,Z,Z,88.0,52.0,52.0,52.0,52.0,69.6,29.0,26.5,ColossalWeapons,standard
Golem's Halberd,387,0,0,0,0,100,134,C,D,Z,Z,Z,75.0,45.0,45.0,45.0,45.0,60.0,25.0,21.5,ColossalWeapons,standard
Great Club,377,0,0,0,112,100,190,B,Z,Z,D,Z,70.0,41.0,42.0,40.0,47.0,56.4,23.0,17.0,ColossalWeapons,standard
